"status","url","redirect"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10310&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10310&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10308&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10308&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-WA-T0-June2015-RD-IB&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-WA-T0-June2015-RD-IB&EMHID=&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-HI-T0-June2015-RD-IB&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-HI-T0-June2015-RD-IB&EMHID=&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10318&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10318&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10328&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10328&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-MS-T0-June2015-RD-IB&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-MS-T0-June2015-RD-IB&EMHID=&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10320&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10320&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-KS-T0-June2015-RD-IB&EMHID=&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=EMC-A-D-GM-KS-T0-June2015-RD-IB&EMHID=&test=22658"
200,"http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10316&test=22658","http://www.verizonwireless.com/landingpages/4g-lte-ret/?cmp=BAC-C-HQ-NON-S-AC-NONE-NONE-2B0MX0-MX-DE-BN-ebuy!_esid!_epid!_ecid!-AB10316&test=22658"
